workerid,OS,screenH,screenW,Browser
0,"""Mac""",1050,1680,"""Chrome"""
1,"""Mac""",800,1280,"""Chrome"""
2,"""Windows""",858,1525,"""Firefox"""
3,"""Windows""",1242,2208,"""Firefox"""
4,"""Windows""",1440,2560,"""Firefox"""
5,"""Windows""",1080,1920,"""Chrome"""
6,"""Windows""",768,1366,"""Chrome"""
7,"""Windows""",768,1366,"""Chrome"""
8,"""Windows""",720,1280,"""Firefox"""
9,"""Mac""",800,1280,"""Chrome"""
10,"""Mac""",1050,1680,"""Chrome"""
11,"""Windows""",900,1600,"""Firefox"""
12,"""Windows""",1080,1920,"""Chrome"""
13,"""Windows""",1080,1920,"""Chrome"""
14,"""Windows""",1080,1920,"""Chrome"""
15,"""Windows""",864,1536,"""Chrome"""
16,"""Mac""",1125,2000,"""Firefox"""
17,"""Windows""",864,1536,"""Chrome"""
18,"""Windows""",1080,1920,"""Chrome"""
19,"""Windows""",864,1536,"""Chrome"""
20,"""Linux""",1080,1920,"""Chrome"""
21,"""Windows""",1080,1920,"""Chrome"""
22,"""Windows""",1050,1680,"""Chrome"""
23,"""Windows""",900,1600,"""Chrome"""
24,"""Windows""",1080,1920,"""Chrome"""
25,"""Windows""",1080,1920,"""Chrome"""
26,"""Windows""",990,1760,"""Firefox"""
27,"""Windows""",1080,1920,"""Chrome"""
28,"""Windows""",1050,1680,"""Chrome"""
29,"""Mac""",1440,2560,"""Chrome"""
30,"""Windows""",1080,1920,"""Chrome"""
31,"""Windows""",768,1024,"""Chrome"""
32,"""Windows""",768,1364,"""Chrome"""
33,"""Linux""",768,1366,"""Chrome"""
34,"""Windows""",1440,2560,"""Chrome"""
35,"""Windows""",1050,1680,"""Firefox"""
36,"""Windows""",864,1536,"""Chrome"""
37,"""Windows""",900,1600,"""Firefox"""
38,"""Windows""",900,1600,"""Chrome"""
39,"""Windows""",768,1366,"""Chrome"""
40,"""Windows""",864,1536,"""Chrome"""
41,"""Windows""",1080,2560,"""Chrome"""
42,"""Windows""",1080,1920,"""Chrome"""
43,"""Windows""",1080,1920,"""Chrome"""
44,"""Windows""",864,1536,"""Chrome"""
45,"""Windows""",1080,1920,"""Chrome"""
46,"""Windows""",1080,1920,"""Chrome"""
47,"""Windows""",768,1360,"""Chrome"""
48,"""Windows""",1440,2560,"""Chrome"""
49,"""Windows""",1080,1920,"""Chrome"""
50,"""Windows""",768,1366,"""Chrome"""
51,"""Mac""",1200,1920,"""Chrome"""
52,"""Mac""",1296,2304,"""Chrome"""
53,"""Windows""",1080,1920,"""Chrome"""
54,"""Windows""",768,1366,"""Firefox"""
55,"""Windows""",768,1366,"""Chrome"""
56,"""Windows""",1440,2560,"""Chrome"""
57,"""Mac""",900,1440,"""Firefox"""
58,"""Windows""",720,1280,"""Chrome"""
59,"""Linux""",1080,1920,"""Chrome"""
60,"""Windows""",768,1366,"""Chrome"""
61,"""Mac""",1050,1680,"""Chrome"""
62,"""Windows""",768,1280,"""Chrome"""
63,"""Windows""",1050,1680,"""Firefox"""
64,"""Windows""",1080,1920,"""Chrome"""
65,"""Windows""",1080,1920,"""Chrome"""
66,"""Windows""",800,1280,"""Chrome"""
67,"""Windows""",1050,1680,"""Chrome"""
68,"""Windows""",768,1366,"""Chrome"""
69,"""Linux""",768,1366,"""Chrome"""
70,"""Windows""",1080,1920,"""Chrome"""
71,"""Windows""",1080,1920,"""Chrome"""
72,"""Windows""",768,1366,"""Chrome"""
73,"""Windows""",768,1366,"""Chrome"""
74,"""Windows""",1080,1920,"""Chrome"""
75,"""Windows""",768,1366,"""Chrome"""
76,"""Windows""",1024,1280,"""Chrome"""
77,"""Windows""",1206,2144,"""Firefox"""
78,"""Windows""",768,1366,"""Chrome"""
79,"""Windows""",1080,1920,"""Chrome"""
80,"""Windows""",1080,1920,"""Chrome"""
81,"""Windows""",800,1280,"""Chrome"""
82,"""Windows""",900,1440,"""Chrome"""
83,"""Windows""",768,1366,"""Chrome"""
84,"""Mac""",900,1440,"""Chrome"""
85,"""Windows""",900,1440,"""Chrome"""
86,"""Windows""",1080,1920,"""Chrome"""
87,"""Mac""",1440,2560,"""Chrome"""
88,"""Windows""",864,1536,"""Chrome"""
89,"""Windows""",1080,1920,"""Chrome"""
