workerid,OS,screenH,screenW,Browser
0,"""Mac""",800,1280,"""Chrome"""
1,"""Windows""",1080,1920,"""Chrome"""
2,"""Windows""",1080,1920,"""Chrome"""
3,"""Windows""",1080,1920,"""Chrome"""
4,"""Windows""",576,1024,"""Firefox"""
5,"""Windows""",900,1440,"""Chrome"""
6,"""Windows""",720,1280,"""Chrome"""
7,"""Windows""",858,1525,"""Firefox"""
8,"""Windows""",1080,1920,"""Chrome"""
9,"""Windows""",1080,1920,"""Chrome"""
10,"""Windows""",1440,2560,"""Chrome"""
11,"""Windows""",1080,1920,"""Firefox"""
12,"""Windows""",864,1536,"""Chrome"""
13,"""Windows""",864,1536,"""Chrome"""
14,"""Windows""",840,1344,"""Chrome"""
