workerid,OS,screenH,screenW,Browser
0,"""Windows""",1440,2560,"""Chrome"""
1,"""Windows""",1080,1920,"""Chrome"""
2,"""Mac""",800,1280,"""Chrome"""
3,"""Windows""",1080,1920,"""Chrome"""
4,"""Windows""",768,1366,"""Chrome"""
5,"""Windows""",768,1024,"""Chrome"""
6,"""Windows""",768,1366,"""Chrome"""
7,"""Windows""",576,1024,"""Firefox"""
8,"""Linux""",1080,1920,"""Firefox"""
9,"""Windows""",800,1280,"""Chrome"""
10,"""Windows""",768,1024,"""Chrome"""
11,"""Windows""",1080,1920,"""Chrome"""
12,"""Mac""",800,1280,"""Chrome"""
13,"""Windows""",1080,1920,"""Chrome"""
14,"""Windows""",1080,1920,"""Chrome"""
15,"""Windows""",1152,2048,"""Chrome"""
16,"""Windows""",1080,1920,"""Chrome"""
17,"""Windows""",768,1366,"""Firefox"""
18,"""Windows""",768,1024,"""Chrome"""
19,"""Windows""",864,1536,"""Chrome"""
20,"""Windows""",768,1366,"""Chrome"""
21,"""Mac""",1050,1680,"""Chrome"""
22,"""Windows""",864,1536,"""Chrome"""
23,"""Windows""",1080,1920,"""Chrome"""
24,"""Windows""",864,1536,"""Chrome"""
25,"""Windows""",864,1536,"""Chrome"""
26,"""Windows""",1080,1920,"""Chrome"""
27,"""Windows""",720,1280,"""Chrome"""
28,"""Windows""",615,1093,"""Chrome"""
29,"""Mac""",1440,2560,"""Chrome"""
30,"""Windows""",1080,1920,"""Chrome"""
31,"""Windows""",1050,1680,"""Chrome"""
32,"""Windows""",1080,1920,"""Chrome"""
33,"""Mac""",900,1440,"""Safari"""
34,"""Windows""",800,1280,"""Chrome"""
35,"""Windows""",1080,1920,"""Firefox"""
36,"""Windows""",768,1280,"""Chrome"""
37,"""Windows""",1080,1920,"""Chrome"""
38,"""Windows""",768,1024,"""Chrome"""
39,"""Windows""",800,1280,"""Chrome"""
40,"""Windows""",720,1280,"""Chrome"""
41,"""Windows""",1200,1920,"""Firefox"""
42,"""Windows""",768,1366,"""Chrome"""
43,"""Windows""",1080,1920,"""Chrome"""
44,"""Windows""",1080,1920,"""Firefox"""
45,"""Windows""",864,1536,"""Chrome"""
46,"""Windows""",768,1366,"""Chrome"""
47,"""Windows""",800,1280,"""Chrome"""
48,"""Windows""",1080,1920,"""Chrome"""
49,"""Windows""",900,1600,"""Chrome"""
50,"""Windows""",1080,1920,"""Chrome"""
51,"""Windows""",768,1366,"""Chrome"""
52,"""Windows""",1080,1920,"""Chrome"""
53,"""Windows""",900,1600,"""Chrome"""
54,"""Windows""",1080,1920,"""Chrome"""
55,"""Windows""",768,1280,"""Chrome"""
56,"""Windows""",768,1366,"""Chrome"""
57,"""Windows""",1080,1920,"""Chrome"""
58,"""Windows""",768,1366,"""Chrome"""
59,"""Windows""",1080,1920,"""Chrome"""
60,"""Windows""",768,1366,"""Firefox"""
61,"""Windows""",768,1366,"""Firefox"""
62,"""Windows""",864,1536,"""Chrome"""
63,"""Windows""",1024,1280,"""Chrome"""
64,"""Windows""",768,1366,"""Chrome"""
65,"""Windows""",972,1728,"""Firefox"""
66,"""Windows""",1080,1920,"""Chrome"""
67,"""Windows""",900,1440,"""Chrome"""
68,"""Windows""",768,1366,"""Chrome"""
69,"""Windows""",1080,1920,"""Chrome"""
70,"""Windows""",900,1600,"""Chrome"""
71,"""Windows""",900,1600,"""Chrome"""
72,"""Windows""",1080,1920,"""Chrome"""
73,"""Windows""",900,1600,"""Chrome"""
74,"""Windows""",768,1366,"""Chrome"""
75,"""Windows""",800,1280,"""Chrome"""
76,"""Windows""",768,1366,"""Chrome"""
77,"""Windows""",1080,1920,"""Chrome"""
78,"""Windows""",1080,1920,"""Chrome"""
79,"""Windows""",1080,1920,"""Chrome"""
80,"""Windows""",768,1364,"""Chrome"""
81,"""Windows""",1080,1920,"""Chrome"""
82,"""Windows""",768,1366,"""Chrome"""
83,"""Windows""",720,1280,"""Chrome"""
84,"""Windows""",768,1366,"""Chrome"""
85,"""Windows""",900,1600,"""Chrome"""
86,"""Windows""",1080,1920,"""Chrome"""
87,"""Windows""",864,1536,"""Chrome"""
88,"""Windows""",900,1440,"""Chrome"""
89,"""Windows""",768,1366,"""Chrome"""
